sample_id,ic50_Omicron
e57f2f36-b3a8-4a47-abbd-2d0f4ed40510,39.6632270812988
86a9ddcd-6a1d-4202-8ffe-e81c562e9f77,32.0760726928711
a1f46caa-bd04-41a7-8ea4-c5e4de545d09,31.8590431213379
a1846e52-a88a-41e5-aab4-14f3e78b7d16,42.5562782287598
c4a699ee-dbfb-4ed5-a7b2-c4e59f4bc712,22.004207611084
e96fb134-842d-4e16-8d89-ff50204e84a5,42.3063430786133
2c7472b8-e3aa-4523-a59a-66649ebb81e7,152.411834716797
c98c87a0-87f4-4926-9b72-cff780eb31fb,29.2802963256836
d9f87f0c-ce2b-4032-b190-5a87ad5d177a,53.2970657348633
0218f509-5637-414b-8d36-c2a31328b197,95.2228393554688
c66a0e9c-f00f-4347-8586-d64abfb937da,30.0004653930664
85875424-a431-4f3f-8ccd-9f28f5f02e4c,83.8338317871094
effe4710-8eca-4387-a8b5-add33ff3c57a,40.0330924987793
db27d107-8d18-440c-958d-ff86aaf58b8d,31.3522758483887
b4cde786-9d02-448c-8223-0d3912b15a4c,842.900207519531
8827474c-311f-411a-be9f-3c508fb9a942,29.2559547424316
1cb352a9-c29f-470d-bc79-01185c2da284,52.236457824707
27520a74-827d-4d04-8d0b-bd14166cc881,25.4186229705811
f5a383e3-d77f-42f6-af84-2b16d9e18b22,72.6678085327148
3862698e-6342-410a-b7d6-6a270e3da185,28.6469612121582
d944083d-f735-4f1c-993d-64a452f0d2dd,49.9050445556641
4b49127f-31b5-4830-9056-1991f7b5110b,33.0784072875977
4e8e3a01-7f72-4d36-81ff-264dac0417b1,19.981201171875
de9dbb7e-1860-4aa6-a3ae-1238398b2f6a,31.8982200622559
ee13d36a-2e65-4b62-96db-942490348300,22.1947631835938
b733ae3d-e973-4229-ab38-6c76ec77dfaf,99.3262710571289
38c8d386-1b3e-49ab-844d-38e558080a3a,33.0800514221191
3f8af1b0-daee-4c09-90b5-287537f8848e,29.5347747802734
e80a4369-ca3b-4173-a95a-52a5d6af6244,44.4474029541016
6637905d-efdc-4f51-9101-7224eab4b257,32.6412467956543
3786c500-7b0a-49eb-b369-b3db37f67090,275.028411865234
c2fc18b6-8aa9-4bae-8ef2-30fbb9f5a3c9,32.4270668029785
e385d5b0-4a19-42aa-8bd0-545f6d6e1830,35.1326599121094
f393cfde-8932-469c-a4ad-f12471a6da26,19.9323501586914
